damage_1,tank_1,range_1,damage_2,tank_2,range_2,result
0.6,0.2,0.6,0.4,0.2,0.4,Defeat
0.4,0.4,0.4,0.6,0.0,0.6,Defeat
0.6,0.2,0.4,0.4,0.2,0.6,Defeat
0.6,0.0,0.6,0.8,0.0,0.4,Defeat
0.4,0.0,0.6,0.8,0.0,0.4,Defeat
0.4,0.0,1.0,0.4,0.2,0.4,Victory
0.6,0.2,0.8,0.4,0.2,0.6,Defeat
0.4,0.0,0.8,0.4,0.0,0.8,Defeat
0.4,0.2,0.8,0.6,0.0,0.6,Defeat
0.8,0.2,0.4,0.4,0.2,0.6,Defeat
0.6,0.0,0.4,0.8,0.0,0.6,Defeat
0.6,0.0,0.6,0.4,0.4,0.4,Defeat
0.4,0.4,0.2,0.6,0.0,0.6,Defeat
0.4,0.4,0.6,0.4,0.0,0.6,Defeat
0.6,0.2,0.4,0.2,0.2,0.6,Defeat
0.4,0.2,0.6,0.8,0.2,0.2,Victory
0.8,0.0,0.4,0.4,0.2,0.4,Defeat
0.4,0.0,0.6,0.4,0.4,0.2,Defeat
0.4,0.2,0.6,0.6,0.0,0.6,Defeat
0.4,0.2,0.6,0.6,0.2,0.6,Defeat
0.4,0.0,0.6,0.4,0.4,0.2,Defeat
0.4,0.2,0.4,0.4,0.4,0.6,Defeat
0.6,0.2,0.4,0.4,0.0,0.6,Defeat
0.6,0.0,0.6,0.2,0.6,0.2,Defeat
0.4,0.2,0.4,0.4,0.2,0.4,Defeat
0.4,0.0,0.8,0.4,0.2,0.8,Defeat
0.6,0.2,0.4,0.6,0.0,0.4,Defeat
0.4,0.4,0.4,0.4,0.0,0.6,Victory
0.4,0.2,0.4,0.4,0.4,0.2,Defeat
0.4,0.2,0.8,0.6,0.0,0.6,Defeat
0.6,0.0,0.6,0.4,0.2,0.6,Defeat
0.4,0.2,0.8,0.6,0.0,0.6,Defeat
0.6,0.2,0.2,0.4,0.0,0.8,Defeat
0.6,0.2,0.4,0.4,0.2,0.6,Victory
0.6,0.0,0.6,0.6,0.4,0.4,Defeat
0.6,0.4,0.2,0.6,0.2,0.6,Defeat
0.6,0.0,0.6,0.6,0.0,0.4,Defeat
0.6,0.0,0.4,0.6,0.2,0.6,Defeat
0.6,0.0,0.6,0.8,0.0,0.4,Defeat
0.6,0.2,0.4,0.6,0.0,0.6,Defeat
0.4,0.2,0.4,0.6,0.2,0.2,Defeat
0.4,0.2,0.6,0.4,0.2,0.4,Defeat
0.4,0.2,0.6,0.2,0.2,0.8,Defeat
0.6,0.0,0.4,0.6,0.0,0.8,Victory
0.4,0.2,0.6,0.8,0.2,0.4,Defeat
0.6,0.0,0.8,0.6,0.0,0.8,Defeat
0.2,0.2,0.4,0.4,0.2,0.6,Defeat
0.6,0.0,0.6,0.4,0.2,0.6,Defeat
0.6,0.0,0.6,0.6,0.0,0.8,Defeat
0.4,0.2,0.6,0.6,0.2,0.4,Defeat
0.8,0.2,0.2,0.4,0.2,0.4,Defeat
0.4,0.2,0.6,0.4,0.2,0.8,Defeat
0.6,0.2,0.8,0.4,0.2,0.4,Defeat
0.4,0.2,0.4,0.6,0.0,0.6,Defeat
0.6,0.0,0.6,0.8,0.0,0.6,Defeat
0.4,0.0,0.6,0.6,0.0,0.6,Defeat
0.4,0.4,0.8,0.6,0.0,0.4,Defeat
0.4,0.2,0.6,0.4,0.2,0.4,Defeat
0.6,0.0,0.4,0.2,0.4,0.4,Defeat
0.4,0.0,0.6,0.2,0.0,1.0,Defeat
0.6,0.0,0.6,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.4,0.6,0.4,Defeat
0.4,0.0,0.6,0.4,0.2,0.6,Defeat
0.6,0.2,0.4,0.6,0.0,0.6,Defeat
0.8,0.0,0.4,0.6,0.0,0.4,Victory
0.6,0.2,0.2,0.8,0.0,0.6,Defeat
0.4,0.2,0.6,0.6,0.4,0.2,Defeat
0.6,0.2,0.4,0.4,0.2,0.4,Defeat
0.6,0.2,0.2,0.4,0.2,0.6,Defeat
0.4,0.0,0.6,0.6,0.2,0.8,Victory
0.4,0.0,0.8,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.6,Defeat
0.4,0.2,0.6,0.4,0.2,0.6,Defeat
0.8,0.0,0.6,0.6,0.0,0.6,Defeat
0.8,0.0,0.6,0.6,0.0,0.6,Defeat
0.6,0.0,0.6,0.6,0.2,0.4,Defeat
0.4,0.2,0.6,0.4,0.2,0.4,Defeat
0.6,0.4,0.2,0.4,0.0,0.8,Defeat
0.4,0.2,0.8,0.6,0.0,0.6,Defeat
0.6,0.4,0.2,0.4,0.0,0.4,Defeat
0.4,0.0,0.8,0.4,0.0,0.8,Victory
0.6,0.2,0.4,0.4,0.0,0.8,Defeat
0.6,0.0,0.8,0.4,0.2,0.4,Defeat
0.6,0.0,0.4,0.6,0.0,0.6,Defeat
0.4,0.4,0.4,0.4,0.4,0.4,Defeat
0.4,0.2,0.6,0.8,0.0,0.2,Victory
0.4,0.4,0.0,0.6,0.0,0.6,Defeat
0.2,0.4,0.6,0.4,0.2,0.6,Defeat
0.6,0.2,0.2,0.6,0.2,0.4,Victory
0.4,0.0,0.8,0.6,0.2,0.6,Defeat
0.4,0.2,0.6,0.8,0.0,0.6,Defeat
0.6,0.2,0.4,0.4,0.2,0.4,Defeat
0.4,0.2,0.8,0.4,0.0,0.4,Defeat
0.4,0.0,0.8,0.4,0.0,0.8,Defeat
0.4,0.2,0.4,0.4,0.0,0.8,Defeat
0.4,0.0,0.8,0.6,0.0,0.4,Defeat
0.6,0.0,0.6,0.2,0.2,0.6,Defeat
0.4,0.2,0.4,0.4,0.2,0.6,Defeat
0.4,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.2,0.8,0.6,0.0,0.4,Defeat
0.6,0.0,0.6,0.4,0.0,0.6,Defeat
0.8,0.0,0.4,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Defeat
0.4,0.4,0.4,0.6,0.2,0.4,Defeat
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.4,0.4,0.6,0.6,0.4,0.2,Victory
0.4,0.0,0.6,0.2,0.4,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.4,Defeat
0.6,0.6,0.2,0.4,0.2,0.6,Defeat
0.6,0.2,0.8,0.6,0.0,0.6,Defeat
0.4,0.0,0.6,0.4,0.2,0.4,Victory
0.4,0.4,0.2,0.4,0.2,0.6,Defeat
0.6,0.2,0.2,0.4,0.6,0.2,Victory
0.4,0.4,0.2,0.4,0.0,0.6,Defeat
0.6,0.0,0.8,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Defeat
0.6,0.2,0.2,0.6,0.2,0.4,Defeat
0.4,0.2,0.4,0.6,0.2,0.4,Victory
0.4,0.0,0.8,0.4,0.2,0.4,Defeat
0.4,0.4,0.2,0.4,0.2,0.6,Defeat
0.8,0.2,0.4,0.6,0.0,0.4,Defeat
0.6,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.4,0.4,0.6,Defeat
0.6,0.2,0.4,0.6,0.2,0.4,Defeat
0.4,0.4,0.2,0.6,0.0,0.4,Defeat
0.4,0.2,0.6,0.4,0.2,0.4,Defeat
0.6,0.2,0.4,0.4,0.0,0.6,Victory
0.4,0.2,0.6,0.4,0.0,0.8,Defeat
0.6,0.2,0.4,0.6,0.0,0.4,Defeat
0.6,0.0,0.6,0.6,0.0,0.6,Defeat
0.6,0.0,0.6,0.6,0.0,0.6,Defeat
0.4,0.2,0.6,0.4,0.2,0.4,Defeat
0.6,0.0,0.4,0.4,0.4,0.4,Victory
0.6,0.0,0.8,0.4,0.2,0.6,Defeat
0.6,0.0,0.4,0.6,0.2,0.2,Victory
0.6,0.0,0.6,0.2,0.4,0.4,Defeat
0.4,0.0,0.8,0.6,0.4,0.4,Defeat
0.6,0.0,0.4,0.4,0.4,0.4,Victory
0.4,0.2,0.6,0.4,0.2,0.6,Defeat
0.4,0.4,0.4,0.6,0.0,0.6,Defeat
0.4,0.2,0.6,0.4,0.2,0.4,Victory
0.4,0.2,0.6,0.4,0.2,0.6,Victory
0.6,0.2,0.8,0.8,0.0,0.4,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Victory
0.4,0.0,0.8,0.6,0.4,0.2,Victory
0.4,0.4,0.4,0.4,0.0,0.8,Victory
0.6,0.2,0.6,0.6,0.2,0.4,Victory
0.6,0.6,0.6,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.0,0.8,Victory
0.6,0.2,0.2,0.6,0.0,0.6,Victory
0.4,0.0,0.8,0.8,0.0,0.6,Victory
0.4,0.2,0.8,0.4,0.0,0.6,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.2,0.6,0.4,0.0,0.8,Victory
0.4,0.2,0.6,0.6,0.4,0.2,Victory
0.6,0.2,0.4,0.4,0.2,0.4,Victory
0.6,0.2,0.0,0.2,0.4,0.4,Victory
0.6,0.0,0.6,0.4,0.2,0.4,Victory
0.4,0.4,0.4,0.6,0.2,0.8,Victory
0.6,0.0,0.6,0.4,0.2,0.8,Victory
0.4,0.0,0.8,0.6,0.0,0.6,Victory
0.6,0.2,0.6,0.4,0.0,0.6,Victory
0.4,0.2,0.6,0.6,0.2,0.8,Victory
0.4,0.0,0.8,0.8,0.0,0.4,Victory
0.4,0.0,0.8,0.8,0.0,0.2,Victory
0.6,0.2,0.6,0.4,0.0,0.8,Victory
0.6,0.2,0.6,0.6,0.0,1.0,Victory
0.6,0.0,0.6,0.8,0.0,0.2,Victory
0.4,0.2,0.4,0.4,0.0,0.6,Victory
0.4,0.4,0.4,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.2,0.2,0.8,Victory
0.6,0.2,0.6,0.4,0.4,0.4,Victory
0.4,0.2,0.8,0.4,0.2,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.4,0.2,0.6,Victory
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.4,0.0,0.6,0.6,0.0,0.6,Victory
0.8,0.0,0.4,0.6,0.2,0.4,Victory
0.6,0.4,0.4,0.2,0.4,0.4,Victory
0.4,0.4,0.4,0.4,0.2,0.4,Victory
0.8,0.0,0.4,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.6,0.2,0.4,Victory
0.8,0.0,0.2,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.4,0.2,0.4,Victory
0.6,0.0,0.8,0.4,0.4,0.6,Victory
0.4,0.6,0.2,0.4,0.2,0.2,Victory
0.4,0.0,0.8,0.6,0.2,1.0,Victory
0.6,0.2,0.4,0.4,0.4,0.4,Victory
0.4,0.0,0.8,0.4,0.0,1.0,Victory
0.4,0.4,0.4,0.6,0.2,0.6,Victory
0.6,0.0,0.8,0.6,0.2,0.4,Victory
0.4,0.4,0.4,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.8,0.0,0.4,Victory
0.4,0.0,0.8,0.4,0.0,0.8,Victory
0.4,0.0,0.8,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.4,0.2,0.2,0.2,0.6,Victory
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.4,0.4,0.4,0.6,0.2,0.6,Victory
0.6,0.0,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.6,0.0,0.8,Victory
0.4,0.4,0.2,0.6,0.2,0.4,Victory
0.4,0.2,0.4,0.6,0.2,0.4,Victory
0.8,0.0,0.6,0.6,0.2,0.4,Victory
0.4,0.0,0.6,0.6,0.4,0.2,Victory
0.4,0.2,0.2,0.6,0.2,0.4,Victory
0.4,0.2,0.6,0.6,0.2,0.4,Victory
0.4,0.4,0.2,0.4,0.0,0.8,Victory
0.6,0.0,0.6,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.4,Victory
0.4,0.2,0.2,0.4,0.2,0.4,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Victory
0.6,0.0,0.6,0.6,0.2,0.4,Victory
0.4,0.2,0.6,0.4,0.0,0.8,Victory
0.4,0.2,0.4,0.8,0.0,0.8,Victory
0.8,0.0,0.4,0.4,0.0,0.6,Victory
0.4,0.2,0.6,0.6,0.0,0.8,Victory
0.4,0.2,0.6,0.6,0.0,0.4,Victory
0.8,0.0,0.4,0.4,0.0,0.8,Victory
0.6,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.4,0.6,Victory
0.4,0.2,0.4,0.4,0.2,0.2,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Victory
0.6,0.4,0.2,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.4,0.0,0.6,Victory
0.4,0.0,0.8,0.4,0.4,0.2,Victory
0.6,0.2,0.4,0.6,0.0,0.4,Victory
0.8,0.0,0.4,0.6,0.0,0.6,Victory
0.6,0.0,0.4,0.8,0.0,0.4,Victory
0.4,0.0,0.6,0.6,0.0,0.4,Victory
0.6,0.0,0.8,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.4,0.0,0.8,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.6,0.2,0.2,Victory
0.6,0.2,0.4,0.6,0.0,0.8,Victory
0.6,0.0,0.4,0.4,0.2,0.4,Victory
0.8,0.0,0.4,0.8,0.2,0.2,Victory
0.6,0.0,0.6,0.6,0.0,0.8,Victory
0.4,0.2,0.8,0.6,0.0,0.6,Victory
0.4,0.2,0.4,0.4,0.2,0.6,Victory
0.6,0.0,0.8,0.4,0.4,0.4,Victory
0.6,0.2,0.2,0.6,0.2,0.6,Victory
0.6,0.2,0.8,0.6,0.0,0.6,Victory
0.6,0.0,0.4,0.6,0.6,0.4,Victory
0.6,0.0,0.6,0.4,0.2,0.4,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Victory
0.4,0.0,0.8,0.6,0.0,0.8,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.0,1.0,0.4,0.2,0.4,Victory
0.8,0.2,0.2,0.6,0.0,0.6,Victory
0.4,0.4,0.2,0.4,0.2,0.4,Victory
0.4,0.2,0.6,0.4,0.4,0.2,Victory
0.6,0.0,0.8,0.4,0.2,0.6,Victory
0.4,0.0,1.0,0.8,0.0,0.6,Victory
0.4,0.0,0.6,0.6,0.0,0.2,Victory
0.2,0.4,0.6,0.8,0.0,0.4,Victory
0.6,0.2,0.4,0.6,0.2,0.6,Victory
0.4,0.0,0.8,0.4,0.2,0.6,Victory
0.4,0.0,0.6,0.4,0.0,1.0,Victory
0.4,0.0,0.8,0.6,0.2,0.4,Victory
0.6,0.0,0.6,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.2,0.2,0.6,Victory
0.6,0.0,0.8,0.4,0.0,1.0,Victory
0.6,0.0,0.4,0.4,0.0,0.8,Victory
0.6,0.0,0.4,0.6,0.0,0.8,Victory
0.4,0.2,0.6,0.6,0.2,0.6,Victory
0.6,0.0,0.6,0.6,0.2,0.4,Victory
0.8,0.0,0.6,0.6,0.0,0.4,Victory
0.8,0.0,0.4,0.6,0.0,0.8,Victory
0.4,0.4,0.4,0.6,0.2,0.4,Victory
0.4,0.4,0.4,0.6,0.2,0.4,Victory
0.4,0.0,0.8,0.4,0.2,0.4,Victory
0.4,0.0,0.6,0.6,0.2,0.4,Victory
0.6,0.0,0.6,0.4,0.4,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.6,Victory
0.6,0.2,0.4,0.2,0.2,0.6,Victory
0.4,0.2,0.2,0.6,0.2,0.4,Victory
0.6,0.2,0.2,0.4,0.4,0.8,Victory
0.6,0.0,0.6,0.6,0.4,0.2,Victory
0.6,0.0,0.6,0.4,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.0,0.8,Victory
0.4,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.8,0.0,0.2,Victory
0.6,0.2,0.4,0.4,0.4,0.4,Victory
0.4,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.6,0.2,0.4,Victory
0.6,0.0,0.6,0.6,0.0,1.0,Victory
0.4,0.2,0.4,0.6,0.2,0.4,Victory
0.6,0.4,0.2,0.6,0.0,0.4,Victory
0.4,0.2,0.6,0.4,0.2,0.4,Victory
0.8,0.0,0.4,0.6,0.0,0.6,Victory
0.6,0.0,0.4,0.4,0.0,0.6,Victory
0.4,0.0,0.6,0.6,0.2,0.4,Victory
0.6,0.0,0.4,0.6,0.0,0.6,Victory
0.4,0.2,0.4,0.8,0.0,0.4,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.4,0.2,0.4,0.0,0.8,Victory
0.4,0.2,0.6,0.6,0.2,0.4,Victory
0.2,0.4,0.4,0.4,0.0,0.6,Victory
0.6,0.2,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.4,0.4,0.0,0.8,Victory
0.6,0.2,0.4,0.4,0.0,0.8,Victory
0.4,0.2,0.6,0.4,0.0,0.6,Victory
0.4,0.2,0.4,0.4,0.2,0.2,Victory
0.6,0.0,0.6,0.6,0.4,0.6,Victory
0.6,0.0,0.6,0.6,0.0,0.4,Victory
0.4,0.4,0.6,0.4,0.2,0.4,Victory
0.6,0.2,0.4,0.4,0.0,0.6,Victory
0.4,0.2,0.6,0.8,0.0,0.4,Victory
0.4,0.2,0.4,0.6,0.0,0.8,Victory
0.4,0.0,0.8,0.4,0.2,0.8,Victory
0.6,0.0,0.4,0.4,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.2,Victory
0.4,0.2,0.8,0.6,0.0,0.6,Victory
0.6,0.4,0.4,0.4,0.0,0.8,Victory
0.4,0.0,0.8,0.6,0.2,0.2,Victory
0.6,0.0,0.6,0.6,0.0,0.8,Victory
0.8,0.2,0.2,0.6,0.2,0.2,Victory
0.6,0.0,0.4,0.4,0.4,0.2,Victory
0.4,0.0,0.8,0.8,0.2,0.2,Victory
0.8,0.0,0.4,0.6,0.2,0.4,Victory
0.6,0.4,0.2,0.6,0.0,0.6,Victory
0.4,0.2,0.8,0.6,0.0,0.4,Victory
0.6,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.4,0.6,0.6,0.2,0.6,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.0,0.8,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.4,Victory
0.6,0.2,0.6,0.4,0.4,0.4,Victory
0.4,0.2,0.6,0.6,0.0,0.4,Victory
0.4,0.4,0.6,0.6,0.2,0.6,Victory
0.6,0.4,0.4,0.6,0.2,0.6,Victory
0.4,0.4,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.8,0.6,0.4,0.6,Victory
0.6,0.2,0.4,0.4,0.0,0.6,Victory
0.4,0.0,0.8,0.2,0.4,0.8,Victory
0.6,0.4,0.2,0.6,0.0,0.4,Victory
0.4,0.4,0.6,0.4,0.0,0.6,Victory
0.4,0.2,0.8,0.6,0.2,0.2,Victory
0.6,0.0,0.6,0.6,0.2,0.4,Victory
0.4,0.2,0.6,0.4,0.0,0.6,Victory
0.4,0.2,0.6,0.4,0.2,0.6,Victory
0.6,0.2,0.4,0.8,0.0,0.4,Victory
0.6,0.0,0.6,0.4,0.4,0.6,Victory
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.6,0.0,0.6,0.4,0.2,0.4,Victory
0.4,0.4,0.6,0.4,0.2,0.6,Victory
0.6,0.4,0.2,0.6,0.0,0.4,Victory
0.4,0.2,0.4,0.6,0.0,0.8,Victory
0.6,0.2,0.4,0.6,0.2,0.6,Victory
0.4,0.2,0.4,0.8,0.0,0.6,Victory
0.6,0.2,0.4,0.6,0.2,0.2,Victory
0.4,0.4,0.4,0.6,0.2,0.4,Victory
0.6,0.2,0.4,0.6,0.0,0.8,Victory
0.6,0.2,0.2,0.4,0.0,0.4,Victory
0.4,0.2,0.6,0.6,0.2,0.6,Victory
0.4,0.2,0.6,0.6,0.2,0.6,Victory
0.4,0.4,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.0,0.2,0.4,0.0,0.8,Victory
0.6,0.0,0.4,0.4,0.0,0.8,Victory
0.6,0.0,0.4,0.6,0.2,0.4,Victory
0.6,0.0,0.6,0.6,0.0,0.4,Victory
0.4,0.2,0.6,0.6,0.0,0.4,Victory
0.6,0.0,0.4,0.6,0.0,0.4,Victory
0.4,0.0,0.8,0.4,0.2,0.6,Victory
0.6,0.4,0.6,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.2,0.4,0.6,Victory
0.8,0.2,0.2,0.6,0.4,0.6,Victory
0.4,0.2,0.4,0.4,0.2,0.6,Victory
0.8,0.0,0.6,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.4,0.2,0.8,Victory
0.6,0.0,0.6,0.4,0.2,0.8,Victory
0.6,0.2,0.4,0.8,0.0,0.4,Victory
0.8,0.2,0.4,0.6,0.0,0.8,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.6,0.2,0.4,Victory
0.4,0.0,0.8,0.6,0.2,0.6,Victory
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.8,0.2,0.6,0.2,0.6,0.4,Victory
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.6,0.2,0.4,0.4,0.2,0.8,Victory
0.4,0.2,0.6,0.4,0.2,0.4,Victory
0.4,0.2,0.4,0.4,0.2,0.6,Victory
0.8,0.2,0.4,0.4,0.4,0.4,Victory
0.2,0.2,0.8,0.6,0.0,0.4,Victory
0.6,0.2,0.6,0.6,0.0,0.6,Victory
0.2,0.2,0.6,0.6,0.2,0.4,Victory
0.6,0.2,0.6,0.4,0.0,0.6,Victory
0.6,0.2,0.4,0.4,0.2,0.8,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.2,0.6,0.6,0.2,0.4,Victory
0.6,0.2,0.2,0.4,0.2,0.8,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.2,0.6,0.8,0.0,0.6,Victory
0.8,0.0,0.4,0.6,0.2,0.2,Victory
0.6,0.0,0.4,0.6,0.0,0.6,Victory
0.4,0.2,0.6,0.8,0.0,0.4,Victory
0.6,0.0,0.6,0.8,0.0,0.4,Victory
0.4,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.0,0.8,0.6,0.2,0.6,Victory
0.6,0.2,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.8,0.0,0.8,Victory
0.6,0.0,0.4,0.6,0.2,0.4,Victory
0.4,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.6,0.2,0.4,Victory
0.4,0.2,0.4,0.4,0.2,0.6,Victory
0.6,0.0,0.6,0.6,0.0,0.6,Victory
0.6,0.0,0.6,0.8,0.0,0.4,Victory
0.6,0.2,0.8,0.6,0.2,0.6,Victory
0.6,0.4,0.4,0.6,0.0,0.6,Victory
0.4,0.2,0.8,0.6,0.0,0.6,Victory
0.4,0.4,0.4,0.2,0.2,0.4,Victory
0.4,0.2,0.4,0.6,0.0,0.6,Victory
0.6,0.2,0.6,0.4,0.4,0.4,Victory
0.2,0.4,0.6,0.6,0.2,0.4,Victory
0.6,0.0,0.6,0.6,0.2,0.6,Victory
0.4,0.0,0.8,0.4,0.4,0.4,Victory
0.6,0.2,0.4,0.4,0.4,0.4,Victory
0.4,0.0,0.6,0.6,0.0,0.6,Victory
0.2,0.2,0.6,0.6,0.0,0.6,Victory
0.6,0.4,0.6,0.6,0.4,0.6,Victory
0.4,0.2,0.4,0.4,0.0,1.0,Victory
0.6,0.4,0.4,0.4,0.2,0.4,Victory
0.6,0.4,0.6,0.2,0.6,0.4,Victory
0.2,0.4,0.6,0.4,0.0,1.0,Victory
0.6,0.2,0.4,0.2,0.0,0.6,Victory
0.4,0.2,0.6,0.6,0.0,0.4,Victory
0.4,0.2,0.4,0.4,0.4,0.4,Victory
0.4,0.4,0.4,0.4,0.0,0.6,Victory
0.4,0.2,0.4,0.6,0.0,0.6,Victory
0.4,0.0,0.6,0.6,0.2,0.6,Victory
0.4,0.2,0.4,0.4,0.2,0.6,Victory
0.4,0.2,0.6,0.4,0.2,0.6,Victory
0.6,0.2,0.8,0.4,0.0,0.6,Victory
0.4,0.4,0.4,0.4,0.2,0.6,Victory
0.8,0.0,0.4,0.4,0.4,0.6,Victory
0.6,0.0,0.4,0.4,0.4,0.4,Victory
0.4,0.2,0.6,0.4,0.6,0.2,Victory
0.6,0.0,0.4,0.4,0.2,0.6,Victory
0.4,0.0,0.6,0.6,0.2,0.4,Victory
0.6,0.0,0.6,0.2,0.0,0.8,Victory
0.6,0.0,0.6,0.4,0.2,0.4,Victory
0.6,0.0,0.4,0.6,0.6,0.2,Victory
0.2,0.4,0.4,0.4,0.4,0.4,Victory
0.6,0.2,0.4,0.6,0.2,0.4,Victory
0.6,0.2,0.6,0.6,0.0,0.6,Victory
0.2,0.6,0.4,0.6,0.2,0.4,Victory
0.8,0.2,0.4,0.4,0.2,0.6,Victory
0.2,0.2,0.4,0.2,0.2,0.8,Victory
0.4,0.0,0.6,0.2,0.4,0.6,Victory
0.4,0.6,0.4,0.6,0.2,0.6,Victory
0.6,0.0,0.8,0.8,0.0,0.2,Victory
0.6,0.2,0.6,0.6,0.0,0.4,Victory
0.6,0.0,0.6,0.4,0.4,0.4,Victory
0.6,0.0,0.8,0.6,0.2,0.6,Victory
0.6,0.0,0.4,0.4,0.2,0.4,Victory
0.6,0.2,0.4,0.4,0.2,0.6,Victory
0.6,0.0,0.6,0.4,0.2,0.8,Victory
0.0,0.4,0.6,0.6,0.0,0.4,Victory
0.4,0.2,0.4,0.4,0.0,0.6,Victory
0.4,0.0,1.0,0.4,0.4,0.6,Victory
0.2,0.4,0.6,0.6,0.0,0.8,Victory
0.6,0.0,0.6,0.4,0.0,0.8,Victory
0.4,0.2,0.4,0.4,0.4,0.6,Victory
0.6,0.0,0.4,0.8,0.0,0.4,Victory
0.6,0.0,0.6,0.4,0.2,0.4,Victory
0.4,0.0,0.8,0.6,0.2,0.6,Victory
0.8,0.0,0.4,0.6,0.0,0.8,Victory
0.4,0.0,0.8,1.0,0.0,0.2,Victory
0.6,0.0,0.6,0.4,0.2,0.6,Victory
0.8,0.0,0.4,0.8,0.2,0.4,Victory
0.4,0.4,0.4,0.4,0.2,0.6,Victory
0.8,0.0,0.4,0.4,0.2,0.4,Victory
0.6,0.0,0.4,0.6,0.2,0.6,Victory
0.8,0.2,0.4,0.2,0.2,0.4,Victory
0.6,0.0,0.4,0.4,0.0,0.8,Victory
0.6,0.0,0.6,0.4,0.2,0.4,Victory
0.6,0.2,0.6,0.6,0.0,0.6,Victory
0.4,0.0,0.6,0.4,0.0,0.8,Victory
0.4,0.2,0.6,0.6,0.2,0.2,Victory
0.8,0.2,0.4,0.4,0.2,0.6,Victory
0.6,0.4,0.4,0.4,0.2,0.6,Victory
0.6,0.2,0.4,0.6,0.2,0.2,Victory
0.4,0.0,0.6,0.4,0.2,0.8,Victory
0.6,0.2,0.6,0.4,0.2,0.6,Victory
0.6,0.4,0.6,0.4,0.0,0.6,Victory
0.6,0.2,0.6,0.6,0.0,0.6,Victory
0.6,0.2,0.4,0.6,0.0,0.6,Victory
